"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 19 Per Share","1","07-Nov-2025","07-Nov-2025","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Dividend - Rs 24 Per Share","1","23-Jun-2025","23-Jun-2025","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 19 Per Share/Special Dividend - Rs 10 Per Share","1","06-Nov-2024","06-Nov-2024","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Annual General Meeting/Dividend - Rs 24 Per Share","1","14-Jun-2024","-","15-Jun-2024","21-Jun-2024"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 18 Per Share","1","02-Nov-2023","02-Nov-2023","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Annual General Meeting/Dividend - Rs 22 Per Share","1","19-Jun-2023","-","20-Jun-2023","26-Jun-2023"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 17 Per Share","1","01-Nov-2022","02-Nov-2022","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Annual General Meeting/Dividend - Rs  19 Per Share","1","15-Jun-2022","-","17-Jun-2022","23-Jun-2022"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 15 Per Share","1","26-Oct-2021","27-Oct-2021","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Annual General Meeting/Dividend - Rs 17  Per Sh","1","14-Jun-2021","-","16-Jun-2021","22-Jun-2021"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 14 Per Share","1","28-Oct-2020","29-Oct-2020","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Special Dividend - Rs 9.50 Per Share","1","30-Jul-2020","31-Jul-2020","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Annual General Meeting/Dividend - Rs 14 Per Share","1","19-Jun-2020","-","23-Jun-2020","30-Jun-2020"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 11 Per Sh","1","23-Oct-2019","24-Oct-2019","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Annual General Meeting/ Dividend - Rs 13 Per Share","1","20-Jun-2019","-","22-Jun-2019","29-Jun-2019"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 9 Per Share (Date And Purpose Revised)","1","25-Oct-2018","26-Oct-2018","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Annual General Meeting / Dividend- Rs 12 Per Share","1","21-Jun-2018","-","23-Jun-2018","29-Jun-2018"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 8/- Per Share","1","01-Nov-2017","02-Nov-2017","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Annual General Meeting/Dividend - Rs 10/- Per Share","1","22-Jun-2017","-","24-Jun-2017","30-Jun-2017"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend Rs 7/- Per Share (Purpose Revised)","1","01-Nov-2016","02-Nov-2016","-","-"