,report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
0,2018-03-31,,2070951761.0,,,959197790.0,,,289367020.0,,577968388.0,,3997400102.0,805119164.0,,,165910907.0,27255549.0,,657371435.0,1392246384.0,,2011740043.0,2244962902.0,1523822625.0,2164528777.0,6427990776.0,600223187.0,2184114257.0,,,,,,1401369456.0,,1243192544.0,302080060.0,96415716.0,8245464400.0,12833235180.0,5231589648.0,6334651022.0,,34837225.0,2399323180.0,631129729.0,1204119440.0,1914287591.0,979733808.0,887786160.0,2887348694.0,274613985.0,509333081.0,4523784491.0
1,2018-06-30,1099810083.0,2070951761.0,1985645229.0,139125159.0,959197790.0,585907609.0,2567940686.0,289367020.0,159135097.0,577968388.0,2436592943.0,3997400107.0,805191188.0,6207409177.0,265468580.0,165973228.0,27266300.0,2255070933.0,657578253.0,1392406704.0,2604157867.0,2012517697.0,2245051892.0,1523822625.0,2164633806.0,6431732828.0,600437982.0,2184127091.0,9711809928.0,,,2417220440.0,1906131883.0,1401727601.0,452140064.0,1243192544.0,302080060.0,96415716.0,8245464400.0,12833235180.0,5231589648.0,6336398954.0,8924587534.0,34837225.0,2399324494.0,631129729.0,1204119440.0,3828575182.0,,887786160.0,2887348694.0,274619071.0,509342670.0,4523995447.0
2,2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368382980.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018-09-30,1099810083.0,2070951761.0,1985645229.0,139125159.0,959197790.0,585907609.0,2569115216.0,289367020.0,159136111.0,577968388.0,2436592943.0,3997400107.0,805227852.0,6207409177.0,265468580.0,166045857.0,27268603.0,2255070933.0,657591288.0,1392521664.0,2717176187.0,2013907962.0,2245349407.0,1523822625.0,2164648943.0,6435132059.0,601296202.0,4368382980.0,9711809928.0,,,2417220440.0,1907004130.0,,452193625.0,1243192544.0,302080060.0,96415716.0,8245464400.0,12833235180.0,5231589648.0,6338440341.0,8924587534.0,34837225.0,2399324674.0,631129729.0,1204119926.0,3752384706.0,980798811.0,887786160.0,2887348694.0,274625869.0,509342670.0,4524079523.0
4,2018-12-31,1099810083.0,2070951761.0,1985645229.0,139125159.0,959197790.0,585907609.0,2569909771.0,289367020.0,159136111.0,577968388.0,2436592943.0,3997400107.0,805667509.0,6207409177.0,265468580.0,166060861.0,27275653.0,2255070934.0,657591288.0,1356261268.0,2719501383.0,2017256697.0,2245512385.0,1523822625.0,2164648943.0,6440817054.0,602082563.0,4368647898.0,9711809928.0,,,2417220440.0,1907544110.0,1402220289.0,452405376.0,1243192544.0,302080060.0,96415716.0,8245464400.0,12833235180.0,5231589648.0,6338561852.0,8924587534.0,34837225.0,2399328274.0,631129729.0,1204125710.0,3752384706.0,981249832.0,887786160.0,2887348694.0,274635762.0,509342670.0,4525022173.0
5,2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9414158922.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6033876721.0
7,2019-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9894557280.0,,,,,,,,,,,,,,,
8,2019-03-31,1099810083.0,2070951761.0,1985645229.0,139125159.0,959197790.0,585915609.0,2571644871.0,289367020.0,159136111.0,577968388.0,2436592943.0,3997400107.0,805701266.0,6162728327.0,265468580.0,166065948.0,27283473.0,2274337216.0,657598363.0,1356278868.0,2723306610.0,2017381157.0,2245530245.0,1523822625.0,2164704405.0,6446239653.0,602686868.0,4361733444.0,9414158922.0,,,2417220440.0,1908754827.0,1402729385.0,452493697.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6338693823.0,8924611534.0,34837225.0,2399334970.0,631129729.0,1204126385.0,3752384706.0,983362470.0,887786160.0,2887348694.0,274642720.0,509342670.0,6033935388.0
9,2019-05-28,,,,,,,,,,,,5130991182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-06-30,1099810083.0,2070951761.0,1985645229.0,139125159.0,959197790.0,585915609.0,2619519511.0,289367020.0,159136111.0,579894198.0,2436592943.0,5130991182.0,805828425.0,6162728327.0,265468580.0,166113840.0,27288952.0,4552004996.0,657609040.0,1356278868.0,2732812271.0,2017489149.0,2245845916.0,1523822625.0,2164801037.0,6452596296.0,603138942.0,4295042444.0,9414158922.0,,,2417220440.0,1909336730.0,1403091278.0,452590752.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6339038430.0,8924611534.0,34837225.0,2399334970.0,631129729.0,1204126385.0,3752384706.0,964352304.0,887786160.0,2887348694.0,274649850.0,509342670.0,6035359575.0
11,2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764014005.0,
12,2019-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,692756723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258412178.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712282652.0
15,2019-09-26,,,,,,,2819004453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2019-09-30,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,2819155633.0,289367020.0,159137290.0,579894198.0,2436592943.0,5131961850.0,806077497.0,6162728327.0,265468580.0,166145748.0,27289722.0,4510141866.0,657672734.0,1356401188.0,5470763894.0,2017672019.0,2245924242.0,1523822625.0,2164812057.0,6459674956.0,692982757.0,4258412178.0,9414158922.0,,,2417220440.0,1910028300.0,1403265582.0,452647548.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6339123229.0,8924611534.0,34837225.0,2399334970.0,631129729.0,1204126385.0,3752384706.0,964844109.0,887786160.0,2887348694.0,274650508.0,764022956.0,5712906868.0
17,2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288613666.0,,
18,2019-11-07,,,,,,,,,,601689069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2019-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36080748.0,,,,,,,,,,
20,2019-12-10,,,,,,,,,,,,,,,,,,,,2713665096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088972101.0,,,
22,2019-12-31,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,2819752963.0,289367020.0,159137290.0,601689069.0,2436592943.0,5131961850.0,806227596.0,6162728327.0,265468580.0,166163148.0,27304562.0,4510141866.0,657798938.0,2713665096.0,5477027068.0,2018606832.0,2246040614.0,1523822625.0,2164812057.0,6469353972.0,693070224.0,4258548000.0,9414158922.0,,,2417220440.0,1911034957.0,1403581376.0,452906754.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6339203530.0,8924611534.0,36080748.0,2399334970.0,631129729.0,1204126999.0,3752384706.0,965312635.0,887786160.0,3088972101.0,288618016.0,764045456.0,5713022469.0
23,2020-01-15,,,,,,,,,,,,5455557355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921551715.0,,,,,,,,
25,2020-03-31,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,2821677934.0,289367020.0,159137290.0,601689069.0,2436592943.0,5455557355.0,806235329.0,6162728327.0,265468580.0,166172082.0,27305473.0,4535759610.0,657798938.0,2713665096.0,5483286460.0,2018798399.0,2246222687.0,1523822625.0,2164844187.0,6472765203.0,693535738.0,4258992566.0,9414158922.0,,,2417220440.0,1913038338.0,1403892022.0,452998121.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6339267510.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3752384706.0,965852364.0,887786160.0,3088973894.0,288625105.0,764045456.0,5713357390.0
26,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,2349467999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978804377.0,,,,,,,,,,,,,,,,,,,,,
28,2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6761843669.0,,,,,,,,,,,,
29,2020-06-30,1099810083.0,,1985645229.0,139125159.0,959197790.0,585938609.0,2822022959.0,289367020.0,159137290.0,,2436592943.0,5455557355.0,,6162728327.0,265468580.0,166232516.0,,4539703374.0,657806468.0,2713665096.0,5490278560.0,2019173024.0,2246284546.0,1523822625.0,2349550042.0,6475980400.0,693566038.0,4259154628.0,9414158922.0,,,2417220440.0,1978804377.0,1403992234.0,453091022.0,,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6761844754.0,8924611534.0,36080748.0,2399334970.0,,1204126999.0,3752384706.0,966177667.0,887786160.0,3088973894.0,,764045456.0,5714438884.0
30,2020-08-11,,,,,,,3060066034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2020-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,6895410621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,741195806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,756313283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020-09-30,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,3060161084.0,289367020.0,159137444.0,602587339.0,2436592943.0,5455557355.0,806337456.0,6162728327.0,265468580.0,166269279.0,273229150.0,4510141866.0,657928218.0,2713665096.0,5503704156.0,2019460732.0,2246352581.0,1523822625.0,2349556255.0,6896223149.0,756451823.0,4259411598.0,9414158922.0,,,2417220440.0,1979207809.0,1404034846.0,453240333.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6762037614.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3752384706.0,966598935.0,887786160.0,3088973894.0,288626076.0,764045456.0,5714950888.0
35,2020-12-31,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,3061465082.0,289367020.0,159137444.0,602587339.0,2436592943.0,5455557355.0,806455229.0,6162728327.0,265468580.0,166298116.0,273256830.0,4510141866.0,657951004.0,2713665096.0,5507656932.0,2020456081.0,2246582938.0,1510388506.0,2349556255.0,6903693527.0,757104998.0,4259587833.0,9414158922.0,,,2417220440.0,1980478721.0,1404256696.0,453513540.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762067614.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3752384706.0,967423190.0,887786160.0,3088973894.0,288636906.0,764045456.0,5715338089.0
36,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5477838089.0
37,2021-01-23,,,,143784657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320307765.0,,,
39,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,773155187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
41,2021-03-31,1099810083.0,2031751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3063748652.0,289367020.0,159137444.0,602587339.0,2436592943.0,5492027268.0,806463279.0,6162728327.0,265468580.0,166301231.0,273335922.0,4440385225.0,658044844.0,2713665096.0,5512776482.0,2020943966.0,2246684247.0,1455845587.0,2349567819.0,6915992387.0,773372299.0,4260660846.0,9414158922.0,,,2417220440.0,1981835668.0,1404555297.0,453680133.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762068814.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3699051373.0,968260067.0,887786160.0,3320307765.0,288653398.0,764045456.0,5479138555.0
42,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
43,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,1418548345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
45,2021-06-30,1099810083.0,2041751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3065268517.0,289367020.0,159137444.0,603594345.0,2436592943.0,5492027268.0,806596753.0,6162728327.0,265468580.0,166360134.0,273388422.0,4440385225.0,658077851.0,2713665096.0,5526719098.0,2022140296.0,2246900609.0,1418548345.0,2349588838.0,6925037357.0,773876784.0,4259085763.0,9414158922.0,,,2417220440.0,1982675781.0,1404604911.0,453902798.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762070014.0,8924611534.0,36080748.0,2399334970.0,,1204126999.0,3699051373.0,968988701.0,887786160.0,3320307765.0,288654448.0,764045456.0,5479239889.0
46,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
47,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975452864.0,,,,,,,,,,,,,
48,2021-09-30,1099810083.0,2041751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3066645378.0,289367020.0,159137444.0,,2436592943.0,5492027268.0,806653624.0,6162728327.0,265468580.0,166398811.0,273399672.0,4440385225.0,658161372.0,2713665096.0,5537451890.0,2023132113.0,2247114735.0,1418548345.0,2349591262.0,6934409997.0,774119194.0,4205464426.0,9414158922.0,,,2417220440.0,1983087703.0,1404656010.0,454030479.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6762070014.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3699051373.0,969714371.0,887786160.0,3320307765.0,288659566.0,764045456.0,5480819197.0
49,2021-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
50,2021-11-06,,,,,,,,,,,,5884314930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6765970014.0,,,,,,,,,,,,
52,2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221543546.0,,,,,,,
